"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"","0","","Glen Lyn (Community Water System)","proposed","Giles","Glen Lyn (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Glen Lyn (Large Self-Supplied User)","proposed","Giles","Glen Lyn (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Appalachian Power Company","69274","GLEN LYN POWER PLANT(GLEN LYN POWER PLANT)","GLEN LYN POWER PLANT","abandoned","Giles","NEW RIVER #1","Surface Water Intake","0","","1","127486.174","0","0","10936.49"
"Appalachian Power Company","163145","Graham Creek Reservoir Phase 2","GLEN LYN POWER PLANT","abandoned","Giles","NEW RIVER #1","Surface Water Intake","0","","1","127486.174","0","0","10936.49"
"Appalachian Power Company","69274","GLEN LYN POWER PLANT(GLEN LYN POWER PLANT)","GLEN LYN POWER PLANT","abandoned","Giles","NEW RIVER #2 DUST CONTROL","Surface Water Intake","0","","1","0","0","0","0"
"Appalachian Power Company","163145","Graham Creek Reservoir Phase 2","GLEN LYN POWER PLANT","abandoned","Giles","NEW RIVER #2 DUST CONTROL","Surface Water Intake","0","","1","0","0","0","0"
"Glen Mary Nursery Inc","69944","GLEN MARY NURSERY INC","GLEN MARY NURSERY INC","inactive","Nelson","REEDS CREEK","Surface Water Intake","0","","5","0","0","0","0"
"Glenmore Country Club, LLC","71160","GLENMORE COUNTRY CLUB(GLENMORE COUNTRY CLUB)","GLENMORE COUNTRY CLUB","active","Albemarle","RIVANNA RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Glenmore Country Club, LLC","163211","Glenmore Country Club Water Withdrawal","GLENMORE COUNTRY CLUB","active","Albemarle","RIVANNA RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Mr. Ryan Meador, President","68705","Glenrochie Country Club(Glenrochie Country Club (Irrigation))","Glenrochie Country Club","active","Washington","Springs","Surface Water Intake","0","","0","0","0","0","0"
"J Ligon Clark","69882","GLENTHORNE BERRY FARM","GLENTHORNE BERRY FARM","inactive","Nelson","SOUTH FORK ROCKFISH RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Koppers Industries, Inc","70841","GLENVAR PLANT(GLENVAR PLANT)","GLENVAR PLANT","active","Roanoke County","ROANOKE RIVER","Surface Water Intake","1.44","VWUDS Form","1","526.23","0","0","45.26"
"Philip T And Philip R Minor","69758","GLENWOOD(GLENWOOD)","GLENWOOD","active","King and Queen","TODDSBERRY POND","Surface Water Intake","0","","2","0","0","0","0"
"Philip T And Philip R Minor","69758","GLENWOOD(GLENWOOD)","GLENWOOD","active","King and Queen","MATTAPONI R  BEWDLEY","Surface Water Intake","0","","2","0","0","0","0"
"Philip T And Philip R Minor","69758","GLENWOOD(GLENWOOD)","GLENWOOD","active","King and Queen","MATTAPONI R  REFILL FOR TODDSB","Surface Water Intake","0","","0","0","0","0","0"
"Philip T And Philip R Minor","69758","GLENWOOD(GLENWOOD)","GLENWOOD","active","King and Queen","WALKERTON MILL POND  NECKFIELD","Surface Water Intake","0","","2","0","0","0","0"
"Philip T And Philip R Minor","69758","GLENWOOD(GLENWOOD)","GLENWOOD","active","King and Queen","CHAPEL CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Glenwood Golf Club","70611","GLENWOOD GOLF CLUB(GLENWOOD GOLF COURSE)","GLENWOOD GOLF CLUB","active","Henrico","GLENWOOD POND","Surface Water Intake","0.25","VWUDS Form","1","7","0","0","0.75"
"","0","","Gloucester (Agriculture)","proposed","Gloucester","Gloucester (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Gloucester (Community Water System)","proposed","Gloucester","Gloucester (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Gloucester Country Club","71043","GLOUCESTER COUNTRY CLUB(GLOUCESTER COUNTRY CLUB)","GLOUCESTER COUNTRY CLUB","inactive","Gloucester","FOX MILL RUN","Surface Water Intake","0","","0","6.678","0","0","1.116"
"Gloucester County Water System","67649","Gloucester County Public Utilities","Gloucester County Public Utilities","active","Gloucester","BEAVERDAM RESERVOIR","Surface Water Intake","4","VWUDS Form","1","0","4.3","0","0"
"","0","","Gloucester (Large Self-Supplied User)","proposed","Gloucester","Gloucester (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Brett Aggregates Inc","70545","GLOUCESTER PLANT(GLOUCESTER PLANT)","GLOUCESTER PLANT","inactive","Goochland","POPLAR SPRING BRANCH","Surface Water Intake","0","","0","0","0","0","0"
"Nick Wimun","70683","GODWIN'S NURSERY/PENINSULA PRO","GODWIN'S NURSERY/PENINSULA PRO","inactive","Accomack","STREAM","Surface Water Intake","0","","0","0","0","0","0"
"New Tides Llc","71139","GOLDEN EAGLE GOLF COURSE(GOLDEN EAGLE GOLF COURSE)","GOLDEN EAGLE GOLF COURSE","active","Lancaster","LAKE IRVINGTON","Surface Water Intake","0","","1","92.4","0","0","18"
"Golden Horseshoe Farm","70438","GOLDEN HORSESHOE FARM","GOLDEN HORSESHOE FARM","inactive","Rockingham","SOUTH FORK SHENANDOAH RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Glenn R Heatwole","70093","GOLDEN VALLEY DAIRY INC","GOLDEN VALLEY DAIRY INC","inactive","Rockingham","SHENANDOAH RIVER  NE OF RT 640","Surface Water Intake","0","","4","0","0","0","0"
"Glenn R Heatwole","70093","GOLDEN VALLEY DAIRY INC","GOLDEN VALLEY DAIRY INC","inactive","Rockingham","SHENANDOAH RIVER   S OF RT 640","Surface Water Intake","0","","0","0","0","0","0"
"Allen L Shank","71188","GOLDEN VIEW FARM","GOLDEN VIEW FARM","inactive","Rockingham","MOSSY CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Allen L Shank","71188","GOLDEN VIEW FARM","GOLDEN VIEW FARM","inactive","Rockingham","SPRING CREEK","Surface Water Intake","0","","1","17.267","0","0","4.561"
"Samuel C Terry Iii","70793","GOLD LEAF FARMS INC","GOLD LEAF FARMS INC","active","Pittsylvania","FARM POND 2 (Home Farm)","Surface Water Intake","0","","4","0","0","0","0"
"Samuel C Terry Iii","70793","GOLD LEAF FARMS INC","GOLD LEAF FARMS INC","active","Pittsylvania","FARM POND 3 (House Driveway Pond)","Surface Water Intake","0","","4","0","0","0","0"
"Samuel C Terry Iii","70793","GOLD LEAF FARMS INC","GOLD LEAF FARMS INC","active","Pittsylvania","FARM POND 1 (Towler Farm)","Surface Water Intake","0","","2","0","0","0","0"
"Samuel C Terry Iii","70793","GOLD LEAF FARMS INC","GOLD LEAF FARMS INC","active","Pittsylvania","BANNISTER RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Samuel C Terry Iii","70793","GOLD LEAF FARMS INC","GOLD LEAF FARMS INC","active","Pittsylvania","Farm Pond 4 Spring Garden","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Goochland (Agriculture)","proposed","Goochland","Goochland (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Goochland (Community Water System)","proposed","Goochland","Goochland (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Goochland (Large Self-Supplied User)","proposed","Goochland","Goochland (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Goose Creek Golf Club","69892","GOOSE CREEK GOLF CLUB(GOOSE CREEK GOLF CLUB)","GOOSE CREEK GOLF CLUB","abandoned","Loudoun","TUSCARORA CREEK","Surface Water Intake","0.25","VWUDS Form","1","13.865","0","0","3"
"Ray Clarke","70768","GORDEN WINFIELD, III","GORDEN WINFIELD, III","active","Sussex","FARM POND 200 #1","Surface Water Intake","0","","4","0","0","0","0"
"Ray Clarke","70768","GORDEN WINFIELD, III","GORDEN WINFIELD, III","active","Sussex","Farm Pond 200 #2","Surface Water Intake","0","","0","0","0","0","0"
"V V And G W Gordon","70100","GORDON BROTHERS ENTERPRISES","GORDON BROTHERS ENTERPRISES","active","Mecklenburg","FARM POND 1","Surface Water Intake","0","","5","0","0","0","0"
"V V And G W Gordon","70100","GORDON BROTHERS ENTERPRISES","GORDON BROTHERS ENTERPRISES","active","Mecklenburg","FARM POND 3","Surface Water Intake","0","","5","0","0","0","0"
"V V And G W Gordon","70100","GORDON BROTHERS ENTERPRISES","GORDON BROTHERS ENTERPRISES","active","Mecklenburg","FARM POND 2","Surface Water Intake","0","","5","0","0","0","0"
"V V And G W Gordon","70100","GORDON BROTHERS ENTERPRISES","GORDON BROTHERS ENTERPRISES","active","Mecklenburg","FARM POND 5","Surface Water Intake","0","","5","0","0","0","0"
"V V And G W Gordon","70100","GORDON BROTHERS ENTERPRISES","GORDON BROTHERS ENTERPRISES","active","Mecklenburg","FARM POND 4","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Gordonsville (Louisa Co)- Growth Area (Proposed)","proposed","Louisa","Proposed Surface Water Source for Gordonsville Growth Area","Surface Water Intake","0","","0","0","0","0","0"
"Klockner-Pentaplast Of America","69566","GORDONSVILLE PLANT(GORDONSVILLE PLANT)","GORDONSVILLE PLANT","active","Louisa","GORDONSVILLE QUARRY","Surface Water Intake","3.24","VWUDS Form","1","26.1","0","0","3.5"
"Virginia Electric & Power Company","163237","Dominion - Gordonsville Power Station","Gordonsville Power Station","active","Louisa","Quarry","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Electric & Power Company","459659","Gordonsville Power Station","Gordonsville Power Station","active","Louisa","Quarry","Surface Water Intake","0","","0","0","0","0","0"
"Gordonsville, Town Of","69108","GORDONSVILLE SERVICE AREA(GORDONSVILLE (ROUTE 15))","GORDONSVILLE SERVICE AREA","active","Orange","GORDONSVILLE QUARRY","Surface Water Intake","0","","0","14.22","0","0","2.8"
"Mary Trent Scott","90409","Gordon Trent Golf Course(Gordon Trent Golf Course (Irrigation))","Gordon Trent Golf Course","active","Patrick","Pond #10","Surface Water Intake","0","","0","0","0","0","0"
"Covia Holdings Corporation","69720","GORE PLANT(GORE PLANT)","GORE PLANT","active","Frederick","BACK CREEK","Surface Water Intake","0","","1","126.511","0","0","17.887"
"Stillwater Inc","70809","GOSHEN PLANT(GOSHEN PLANT)","GOSHEN PLANT","inactive","Rockbridge","CALFPASTURE RIVER","Surface Water Intake","0","","5","45.255","0","0","5.47"
"Goshen, Town Of","70834","GOSHEN SERVICE AREA(GOSHEN)","GOSHEN SERVICE AREA","active","Rockbridge","SPRING","Surface Water Intake","0","","0","21.9","0","0","1.86"
"Grace Price","71337","Surface Water Reporting - [no name]","GRACE PRICE","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Evelynton, Inc.","70054","Grain Crop(Center Pivot Irrigation)","Grain Crop","active","Charles City","Gravel Pond","Surface Water Intake","0","","0","0","0","0","0"
"Evelynton, Inc.","70054","Grain Crop(Center Pivot Irrigation)","Grain Crop","active","Charles City","Herring Creek","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","PAMUNKEY RIVER - ML 7 & 8 (Manskin)","Surface Water Intake","0","","2","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","Pamunkey River - ML3","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","Pamunkey River - Burnley B1,2","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","PAMUNKEY RIVER - SH 3,6,7 WB 1","Surface Water Intake","0","","4","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","ML4,5,6","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","PAMUNKEY RIVER - SH 1 & 2  (Summerhill)","Surface Water Intake","0","","4","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","PAMUNKEY RIVER - NC2 (NEWCASTLE)","Surface Water Intake","0","","4","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","Pamunkey River- GF1","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","North Anna River - FPF (FALL POINT)","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","B1","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","HF1","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","Pamunkey River - NC1(NEWCASTLE)","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","North Anna River - FPB (FALL POINT)","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","B2","Surface Water Intake","0","","0","0","0","0","0"
"Charles D Mcghee","69576","GRAINFIELD FARM","GRAINFIELD FARM","active","Charles City","ML9","Surface Water Intake","0","","0","0","0","0","0"
"James H. Lake","68987","GRAND VIEW FARM","GRAND VIEW FARM","inactive","Shenandoah","NORTH FORK SHENANDOAH RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Kuzzens Inc. (formerly Six L's Packing Company, Inc.)","66594","Grapeland","Grapeland Farm","active","Northampton","GL Pond #1","Surface Water Intake","0","","0","0","0","0","0"
"Wilburn Graves","70087","GRAVES PLANT FARM","GRAVES PLANT FARM","inactive","Hanover","PARSLEY CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Gene W Jones","69421","GRAYS CREEK FARMS INC(GRAYS CREEK FARMS INC)","GRAYS CREEK FARMS INC","active","Surry","FARM POND","Surface Water Intake","0","","1","67.57","0","0","27.03"
"Gene W Jones","69421","GRAYS CREEK FARMS INC(GRAYS CREEK FARMS INC)","GRAYS CREEK FARMS INC","active","Surry","STREAM","Surface Water Intake","0","","1","0","0","0","0"
"","0","","Grayson (Agriculture)","proposed","Grayson","Grayson (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Grayson (Community Water System)","proposed","Grayson","Grayson (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Grayson (Large Self-Supplied User)","proposed","Grayson","Grayson (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Philip Witmer","70512","Grazeland Dairy(Grazeland Dairy)","Grazeland Dairy","active","Rockingham","Beaver Creek","Surface Water Intake","0","","1","0","0","0","0"
"Tazewell County Psa","69017","GREATER TAZWELL REGIONAL WTP(TAZEWELL REGION)","Greater Tazewell Regional WTP","active","Tazewell","CLINCH RIVER","Surface Water Intake","1.2","VWUDS Form","1","177.249","5.549","0","16.368"
"Tazewell County Psa","69017","GREATER TAZWELL REGIONAL WTP(TAZEWELL REGION)","Greater Tazewell Regional WTP","active","Tazewell","LAKE WHITTEN","Surface Water Intake","1.3","VWUDS Form","1","0","5.549","0","0"
"Tazewell County Psa","69017","GREATER TAZWELL REGIONAL WTP(TAZEWELL REGION)","Greater Tazewell Regional WTP","active","Tazewell","COX'S BRANCH RESERVOIR","Surface Water Intake","0.3","VWUDS Form","1","196.012","5.549","0","17.789"
"Floyd County Recreation Assoc","69800","GREAT OAKS COUNTRY CLUB(GREAT OAKS COUNTRY CLUB)","GREAT OAKS COUNTRY CLUB","active","Floyd","POND","Surface Water Intake","0.076","VWUDS Form","1","2.348","0","0","0.635"
"W Beverly Fletcher","70375","GREEN ACRES FARMS(GREEN ACRES FARMS)","GREEN ACRES FARMS","active","Accomack","POND           50 ACRES FIELD","Surface Water Intake","0","","0","0","0","0","0"
"W Beverly Fletcher","70375","GREEN ACRES FARMS(GREEN ACRES FARMS)","GREEN ACRES FARMS","active","Accomack","PONDS          150 ACRES FIELD","Surface Water Intake","0","","1","0","0","0","0"
"Club Corp","71206","Greenbrier Country Club(Greenbriar Country Club)","Greenbrier Country Club","active","Chesapeake","POND","Surface Water Intake","0","","0","0","0","0","0"
"Hickory Farms, L.L.C.","66597","Greenbrier Farms","Greenbrier Farms Nursery","active","Chesapeake","MILLS FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hickory Farms, L.L.C.","66597","Greenbrier Farms","Greenbrier Farms Nursery","active","Chesapeake","MOALCO FARM CANAL","Surface Water Intake","0","","5","0","0","0","0"
"Hickory Farms, L.L.C.","66597","Greenbrier Farms","Greenbrier Farms Nursery","active","Chesapeake","EASON FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hickory Farms, L.L.C.","66597","Greenbrier Farms","Greenbrier Farms Nursery","active","Chesapeake","WATERS FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Hickory Farms, L.L.C.","66597","Greenbrier Farms","Greenbrier Farms Nursery","active","Chesapeake","MAIN FARM CANAL","Surface Water Intake","0","","5","0","0","0","0"
"Hickory Farms, L.L.C.","66597","Greenbrier Farms","Greenbrier Farms Nursery","active","Chesapeake","SQUIRES FARM POND","Surface Water Intake","0","","5","0","0","0","0"
